priority,cluster,preferred_url,intent,keyword,evidence,volume,volume_period,volume_geography,volume_source,organic_difficulty
P1,system-data-cleanup,/clear-system-data-on-mac,How-to,clear system data on mac,Shared chat; Apple storage guidance,,,,,Unmeasured
P1,system-data-cleanup,/clear-system-data-on-mac,How-to,how to clear system data on mac,Shared chat; Apple storage guidance,,,,,Unmeasured
P1,system-data-cleanup,/clear-system-data-on-mac,How-to,delete system data mac,Shared chat; Apple storage guidance,,,,,Unmeasured
P1,system-data-cleanup,/clear-system-data-on-mac,How-to,reduce system data mac,Shared chat; Apple storage guidance,,,,,Unmeasured
P1,system-data-cleanup,/clear-system-data-on-mac,How-to,clear system storage mac,Shared chat; Apple storage guidance,,,,,Unmeasured
P1,system-data-cleanup,/clear-system-data-on-mac,How-to,mac system data won’t delete,Shared chat; Apple storage guidance,,,,,Unmeasured
P1,system-data-cleanup,/clear-system-data-on-mac,How-to,can I delete system data on mac,Shared chat; Apple storage guidance,,,,,Unmeasured
P1,system-data-definition,/what-is-system-data-on-mac,Explanation,what is system data on mac,Apple Storage settings documentation,,,,,Unmeasured
P1,system-data-definition,/what-is-system-data-on-mac,Explanation,what is system data in mac storage,Apple Storage settings documentation,,,,,Unmeasured
P1,system-data-definition,/what-is-system-data-on-mac,Explanation,what does system data include on mac,Apple Storage settings documentation,,,,,Unmeasured
P1,system-data-definition,/what-is-system-data-on-mac,Explanation,why is system data so high on mac,Apple Storage settings documentation,,,,,Unmeasured
P1,system-data-definition,/what-is-system-data-on-mac,Explanation,is system data safe to delete,Apple Storage settings documentation,,,,,Unmeasured
P1,system-data-definition,/what-is-system-data-on-mac,Explanation,mac other storage vs system data,Apple Storage settings documentation,,,,,Unmeasured
P1,system-data-large,/system-data-too-large,Troubleshooting,mac system data too large,Shared chat; Apple Community recurring reports,,,,,Unmeasured
P1,system-data-large,/system-data-too-large,Troubleshooting,mac system data huge,Shared chat; Apple Community recurring reports,,,,,Unmeasured
P1,system-data-large,/system-data-too-large,Troubleshooting,system data taking up 100gb mac,Shared chat; Apple Community recurring reports,,,,,Unmeasured
P1,system-data-large,/system-data-too-large,Troubleshooting,why is system data 200gb mac,Shared chat; Apple Community recurring reports,,,,,Unmeasured
P1,system-data-large,/system-data-too-large,Troubleshooting,system data taking up half my storage,Shared chat; Apple Community recurring reports,,,,,Unmeasured
P1,system-data-large,/system-data-too-large,Troubleshooting,macbook air system data too large,Shared chat; Apple Community recurring reports,,,,,Unmeasured
P1,system-data-large,/system-data-too-large,Troubleshooting,system data 150gb mac,Shared chat; Apple Community recurring reports,,,,,Unmeasured
P1,system-data-large,/system-data-too-large,Troubleshooting,system data taking all storage mac,Shared chat; Apple Community recurring reports,,,,,Unmeasured
P1,system-data-growth,/system-data-keeps-growing,Troubleshooting,mac system data keeps growing,Apple Community thread 256249051,,,,,Unmeasured
P1,system-data-growth,/system-data-keeps-growing,Troubleshooting,why does system data keep increasing mac,Apple Community thread 256249051,,,,,Unmeasured
P1,system-data-growth,/system-data-keeps-growing,Troubleshooting,system data fills up again after deleting,Apple Community thread 256249051,,,,,Unmeasured
P1,system-data-growth,/system-data-keeps-growing,Troubleshooting,mac storage filling up by itself,Apple Community thread 256249051,,,,,Unmeasured
P1,system-data-growth,/system-data-keeps-growing,Troubleshooting,system data keeps growing macbook air,Apple Community thread 256249051,,,,,Unmeasured
P1,system-data-growth,/system-data-keeps-growing,Troubleshooting,system data grows after clearing cache,Apple Community thread 256249051,,,,,Unmeasured
P1,storage-full,/mac-storage-full,Urgent troubleshooting,mac storage full,Apple free-storage guidance; current search results,,,,,Unmeasured
P1,storage-full,/mac-storage-full,Urgent troubleshooting,mac startup disk almost full,Apple free-storage guidance; current search results,,,,,Unmeasured
P1,storage-full,/mac-storage-full,Urgent troubleshooting,your disk is almost full mac,Apple free-storage guidance; current search results,,,,,Unmeasured
P1,storage-full,/mac-storage-full,Urgent troubleshooting,mac disk full what to delete,Apple free-storage guidance; current search results,,,,,Unmeasured
P1,storage-full,/mac-storage-full,Urgent troubleshooting,macbook storage full,Apple free-storage guidance; current search results,,,,,Unmeasured
P1,storage-full,/mac-storage-full,Urgent troubleshooting,not enough disk space mac,Apple free-storage guidance; current search results,,,,,Unmeasured
P1,storage-full,/mac-storage-full,Urgent troubleshooting,mac storage full after deleting files,Apple free-storage guidance; current search results,,,,,Unmeasured
P1,storage-full,/mac-storage-full,Urgent troubleshooting,deleted files but storage still full mac,Apple free-storage guidance; current search results,,,,,Unmeasured
